BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH
201301,1,0,201301,31,2359,70300,422180,ALABAMA,1,2013,January,Drought,Z,66,DALE,TAE,1/1/2013 0:00,EST-5,1/31/2013 23:59,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423795,COLORADO,8,2013,January,Drought,Z,4,ELKHEAD AND PARK MOUNTAINS,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
201301,1,1230,201301,1,1230,71728,431896,CALIFORNIA,6,2013,January,Sneakerwave,Z,505,COASTAL NORTH BAY INCLUDING POINT REYES NATIONAL SEASHORE,MTR,1/1/2013 12:30,PST-8,1/1/2013 12:30,0,0,1,0,0.00K,0.00K,Newspaper,,,,,,,,,,,,,
201301,1,1800,201301,2,1400,70755,424932,WYOMING,56,2013,January,Heavy Snow,Z,57,WYOMING BLACK HILLS,UNR,1/1/2013 18:00,MST-7,1/2/2013 14:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,
201301,1,1800,201301,2,1400,70753,424935,SOUTH DAKOTA,46,2013,January,Heavy Snow,Z,24,NORTHERN BLACK HILLS,UNR,1/1/2013 18:00,MST-7,1/2/2013 14:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423801,COLORADO,8,2013,January,Drought,Z,6,GRAND VALLEY,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423799,COLORADO,8,2013,January,Drought,Z,8,CENTRAL COLORADO RIVER BASIN,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423798,COLORADO,8,2013,January,Drought,Z,10,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423797,COLORADO,8,2013,January,Drought,Z,13,FLATTOP MOUNTAINS,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
201301,1,0,201301,31,2359,70580,423789,COLORADO,8,2013,January,Drought,Z,1,LOWER YAMPA RIVER BASIN,GJT,1/1/2013 0:00,MST-7,1/31/2013 23:59,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,
